山通番,パレット数,構成
1,4,KVC|2026082001|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082001|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082001|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082001|B7|L12-D-8|537224207090|1|515|194.1302
2,1,高岡|2026082501|K5|C15-A-3|583114214100|1|750|313.7401
3,3,KVC|2026082101|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082101|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082101|B7|L12-C-5|537214206090|1|515|194.1301
4,3,KVC|2026082401|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082401|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082401|B7|L12-D-8|537224207090|1|515|194.1302
5,4,KVC|2026082401|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082402|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082402|B7|L12-C-5|537214206090|1|515|194.1301; KVC|2026082402|B7|L12-D-8|537224207090|1|515|194.1302
6,3,KVC|2026082403|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082403|B7|C15-A-1|581167801100|1|830|313.7402; 高岡|2026082701|K5|C15-A-3|583114214100|1|750|313.7401
7,3,KVC|2026082501|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082501|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082501|B7|L12-D-8|537224207090|1|515|194.1302
8,3,KVC|2026082601|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082601|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082601|B7|L12-D-8|537224207090|1|515|194.1302
9,3,日野|2026090710|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026082601|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082601|K5|L12-C-5|537214206000|1|515|194.1301
10,3,KVC|2026082701|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082701|B7|C12-B-6|582114202000|1|550|346.5; KVC|2026082701|B7|C15-A-1|581167801100|1|830|313.7402
11,3,KVC|2026082801|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026082801|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026082801|B7|L12-D-8|537224207090|1|515|194.1302
12,3,高岡|2026082801|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026082801|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026082801|K5|L12-C-5|537214206000|1|515|194.1301
13,3,KVC|2026083101|B3|C15-A-1|581167801100|1|830|313.7402; KVC|2026083101|B7|C15-A-1|581167801100|1|830|313.7402; KVC|2026083101|B7|L12-C-5|537214206090|1|515|194.1301
14,3,高岡|2026083101|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026083101|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026083101|K5|L12-D-8|537224207000|1|515|194.1302
15,3,日野|2026090801|07|Q10-A-24|631426010000|1|1000|72.916; 高岡|2026083105|K5|C15-B-5|581164203000|1|830|313.74; 高岡|2026083105|K5|L12-D-8|537224207000|1|515|194.1302
16,2,高岡|2026090201|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090201|K5|C15-B-5|581164203000|1|830|313.74
17,4,日野|2026090705|W5|Q10-A-20|671466020000|21|500|72.914; 日野|2026090705|W5|Q10-A-22|671456020000|21|500|72.915; 高岡|2026090301|K5|C15-A-3|583114214100|1|750|313.7401; 高岡|2026090301|K5|L12-C-5|537214206000|1|515|194.1301
